,Borough,Address,Latitude,Longitude
414,MN,2034 MADISON AVENUE,40.8084717,-73.9389661
415,MN,112 WEST 118 STREET,40.8034623,-73.9496407
416,MN,5C CARMINE STREET,40.7308968,-74.0022984
417,MN,176 LAFAYETTE STREET,40.7205711,-73.9989899
418,MN,520 WEST 151 STREET,40.8294259,-73.9463834
419,MN,1413 2 AVENUE,40.7700018,-73.9578251
420,MN,315 WEST 92 STREET,40.7931478,-73.9757235
421,MN,441 WEST 53 STREET,40.7664024,-73.9894514
422,MN,307 WEST BROADWAY,40.7215317,-74.0041163
423,MN,532 WEST 22 STREET,40.7475134,-74.0064096
424,MN,860 11 AVENUE,40.7708983,-73.9897396
425,MN,24 AVENUE A,40.7230404,-73.9854429
426,MN,36 WEST 28 STREET,40.7492208,-73.9985527
427,MN,825 WEST 180 STREET,40.8505462,-73.9403227
428,MN,216 WEST 138 STREET,40.817496,-73.943528
429,MN,421 EAST 77 STREET,40.7708726,-73.9527016
430,MN,175 EAST 107 STREET,40.7927144,-73.9447047
431,MN,1420 3 AVENUE,40.775436,-73.9568613
432,MN,25 NAGLE AVENUE,40.8592988,-73.9301528
433,MN,405 EAST 90 STREET,40.7793842,-73.9467956
434,MN,435 EAST 117 STREET,40.796293,-73.9334117
435,MN,317 WEST 92 STREET,40.7931862,-73.9758066
436,MN,311 CONVENT AVENUE,40.8230996,-73.9470099
437,MN,44 MACOMBS PLACE,40.8264182,-73.9367238
438,MN,339 EAST 10 STREET,40.7271979,-73.9801276
439,MN,78 THAYER STREET,40.8639743,-73.9277112
440,MN,226 EAST 53 STREET,40.7570445,-73.9684273
441,MN,235 LENOX AVENUE,40.805797,-73.9473958
442,MN,100 GREENWICH STREET,40.7083012,-74.0137459
443,MN,317 WEST 88 STREET,40.7907163,-73.9775734
444,MN,180 VARICK STREET,40.7274823,-74.0051377
445,MN, PLEASANT AVENUE,40.7935143,-73.9315978
446,MN,130 EAST 16 STREET,40.7348678,-73.9873997
447,MN,535 WEST 121 STREET,40.8111079,-73.9607649
448,MN,373 5 AVENUE,40.7490714,-73.9837049
449,MN,135 WEST 58 STREET,40.7657091,-73.977802
450,MN,24 LAUREL HILL TERRACE,40.8489618,-73.9293613
451,MN,56 WEST 56 STREET,40.7631481,-73.9770809
452,MN,307 WEST 106 STREET,40.8021352,-73.9690128
453,MN,9 JANE STREET,40.7382527,-74.00271
454,MN,344 EAST 112 STREET,40.7934795,-73.9379505
455,MN,975 2 AVENUE,40.7559986,-73.9680525
456,MN,374 WEST 125 STREET,40.8109544,-73.9537641
457,MN,27 WEST 130 STREET,40.8103036,-73.9410741
458,MN,570 WEST 204 STREET,40.8643437,-73.9217599
459,MN,487 HUDSON STREET,40.7326203,-74.0070144
460,MN,216 WEST 99 STREET,40.7960942,-73.9697885
461,MN,364 3 AVENUE,40.7411498,-73.981888
462,MN, MANHATTAN AVENUE,40.8091622,-73.9541374
463,MN,471 CENTRAL PARK WEST,40.7989649,-73.9597608
